locality_original,locality_normalized,river_km_original,river_km_numeric,level_cm_original,level_cm_numeric,variation_cm_original,variation_cm_numeric,temperature_original,temperature_c_numeric,measurement_date_original,measurement_date_iso,latitude,longitude
Sulina,Sulina,0,0,62,62,3,3,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,45.15541425,29.652728883222
Isaccea,Isaccea,103,103,25,25,1,1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,45.2721887,28.4571456
Galati,Galati,150,150,26,26,0,0,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,45.4338215,28.0549395
Braila,Braila,170,170,4,4,0,0,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,45.2716092,27.9742932
Harsova,Harsova,253,253,-115,-115,-1,-1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,44.6845557,27.9513766
Cernavoda,Cernavoda,300,300,-213,-213,2,2,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,44.3416349,28.0316248
Calarasi,Calarasi,370,370,-164,-164,-1,-1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,44.1961646,27.3313233
Oltenita,Oltenita,430,430,-120,-120,-1,-1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,44.0904556,26.6407009
Giurgiu,Giurgiu,493,493,-158,-158,-1,-1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,43.8959058,25.9658111
Zimnicea,Zimnicea,554,554,-55,-55,-1,-1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,43.6542344,25.3655464
Turnu Magurele,Turnu Magurele,597,597,-95,-95,-1,-1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,43.7518306,24.8691717
Corabia,Corabia,630,630,-127,-127,-1,-1,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,43.7747612,24.5015439
Bechet,Bechet,679,679,-87,-87,-3,-3,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,43.784314,23.9574422
Rast,Rast,738,738,-148,-148,-3,-3,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,43.8851672,23.2813472
Calafat,Calafat,795,795,-160,-160,-4,-4,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,43.9942983,22.9337027
Cetate,Cetate,811,811,-102,-102,-4,-4,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,44.1114259,23.0475514
Gruia,Gruia,851,851,-140,-140,-2,-2,28,28,2026-08-03T03:00:00+03:00,2026-08-03,44.2665732,22.7046852
Drobeta Turnu Severin,Drobeta Turnu Severin,931,931,680,680,0,0,28,28,2026-08-03T03:00:00+03:00,2026-08-03,44.6257835,22.6531975
Orsova,Orsova,954,954,2510,2510,-5,-5,28,28,2026-08-03T03:00:00+03:00,2026-08-03,44.726128,22.392312975059
Drencova,Drencova,1015,1015,963,963,-1,-1,28,28,2026-08-03T03:00:00+03:00,2026-08-03,44.6377707,21.9723364
Moldova Veche,Moldova Veche,1048,1048,690,690,-2,-2,28,28,2026-08-03T03:00:00+03:00,2026-08-03,44.7213534,21.6198348
Bazias,Bazias,1072,1072,544,544,0,0,28,28,2026-08-03T03:00:00+03:00,2026-08-03,44.8159071,21.39048
Tulcea,Tulcea,71,71,21,21,0,0,27.5,27.5,2026-08-03T03:00:00+03:00,2026-08-03,45.177518,28.8016348
