nid,uuid,vid,langcode,type,revision_timestamp,revision_uid,status,uid,title,created,changed,promote,sticky,default_langcode,revision_translation_affected,path,content_translation_source,content_translation_outdated,display_page_title,body,feeds_item,field_cota,field_data_actualizare_prognoze,field_field_data_actualiz_cote,field_geolocation_demo_single,field_km,field_localitatea,field_localitate_grafic,field_temperatura_masurata,field_tendinta_120h,field_tendinta_24h,field_tendinta_48h,field_tendinta_72h,field_tendinta_96h,field_variatia
82,657e4b68-9e17-4102-a240-b2cf2f34ba27,105,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Sulina,2014-07-22T12:09:46+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:28+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/sulina53ro,und,0,1,,72026-08-03T05:57:28+00:00/ro/feed/7f5f18f92c380155802467c0218a371d8feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,62,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"45.1554142529.65272888322245.15541425, 29.652728883222",0,Sulina,,27.5,0,0,0,0,0,3
84,733c61e2-3083-4766-9b49-9c51b6e6c7cc,84,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Isaccea,2014-07-22T12:11:44+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:28+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/isaccea55ro,und,0,1,,72026-08-03T05:57:28+00:00/ro/feed/71de094a75b4583faa42c1fb2b8fb9377feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,25,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"45.272188728.457145645.2721887, 28.4571456",103,Isaccea,,27.5,16,22,21,20,18,1
85,c726848a-12e0-4961-be36-8a8d29ce9106,85,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Galati,2014-07-22T12:12:43+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:29+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/galati56ro,und,0,1,,72026-08-03T05:57:29+00:00/ro/feed/74f1076d6b7cc866cc541a55b3c47439ffeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,26,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"45.433821528.054939545.4338215, 28.0549395",150,Galati,,27.5,16,23,21,20,18,0
86,cc4f13d6-eccf-48bf-a3b2-2ed3b60e1f63,86,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Braila,2014-07-22T12:14:22+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:29+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/braila57ro,und,0,1,,72026-08-03T05:57:29+00:00/ro/feed/7b08d4ded90675f17fba9dd8b45fd4ca2feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,4,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"45.271609227.974293245.2716092, 27.9742932",170,Braila,,27.5,-9,0,-2,-4,-6,0
87,434d580b-1bc9-4210-aea9-3d263e8251fe,87,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Harsova,2014-07-22T12:15:22+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:29+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/harsova-058ro,und,0,1,,72026-08-03T05:57:29+00:00/ro/feed/73852b8d9b60c0fae01c7a16ae8f67eb2feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-115,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.684555727.951376644.6845557, 27.9513766",253,Harsova,,27.5,-118,-115,-115,-116,-117,-1
88,267d20a8-8a85-4d85-97e1-8aee686e9535,88,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Cernavoda,2014-07-22T12:16:19+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:31+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/cernavoda59ro,und,0,1,,72026-08-03T05:57:31+00:00/ro/feed/7a942d0627639e7ce0922b8da611c68d2feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-213,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.341634928.031624844.3416349, 28.0316248",300,Cernavoda,,27.5,-227,-218,-220,-222,-224,2
89,29f3d156-04e1-46bc-b699-bbea096e212f,89,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Calarasi,2014-07-22T12:18:02+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:31+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/calarasi60ro,und,0,1,,72026-08-03T05:57:31+00:00/ro/feed/7b08f710115bb6a38bf5411dca8754691feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-164,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.196164627.331323344.1961646, 27.3313233",370,Calarasi,,27.5,-178,-164,-166,-169,-173,-1
90,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,90,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Oltenita,2014-07-22T12:19:25+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/oltenita61ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/7248e8453e867ee2ed4bedf6972ec4d2dfeeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-120,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"44.090455626.640700944.0904556, 26.6407009",430,Oltenita,,27.5,-130,-120,-122,-124,-127,-1
91,e3a30b68-5b3e-42d0-b6e7-82411594d811,91,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Giurgiu,2014-07-22T12:20:33+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/giurgiu62ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/7d88e75442790106079e991045ab4efb7feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-158,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"43.895905825.965811143.8959058, 25.9658111",493,Giurgiu,,27.5,-170,-159,-161,-164,-167,-1
92,fda97819-adbe-448c-bb6b-85e4aea435af,92,ro,cotenode_typed5b549ce-2740-49f7-8f34-d399df21fbb6,2023-07-26T12:41:06+00:00Y-m-d\TH:i:sP,0user1faab451-89c1-41f5-bb1a-e9270859731c/ro/user/0,1,1user3ed76c64-399c-4099-a53e-4456eb2fdb78/ro/users/admin,Zimnicea,2014-07-22T12:21:40+00:00Y-m-d\TH:i:sP,2026-08-03T05:57:32+00:00Y-m-d\TH:i:sP,0,0,1,1,/content/zimnicea63ro,und,0,1,,72026-08-03T05:57:32+00:00/ro/feed/7e05f9d387be7300024b41dfe2b8afba5feeds_feedcfcb2ba1-82f0-4490-985d-eaa03abb5b7d,-55,2026-08-02T03:00:00+03:00,2026-08-03T03:00:00+03:00,"43.654234425.365546443.6542344, 25.3655464",554,Zimnicea,,27.5,-69,-56,-59,-63,-66,-1
