qualified_tag,local_name,namespace,count
alias,alias,,23
body,body,,23
changed,changed,,23
content_translation_outdated,content_translation_outdated,,23
content_translation_source,content_translation_source,,23
created,created,,23
data,data,,23
default_langcode,default_langcode,,23
display_page_title,display_page_title,,23
feeds_item,feeds_item,,23
field_cota,field_cota,,23
field_data_actualizare_prognoze,field_data_actualizare_prognoze,,23
field_field_data_actualiz_cote,field_field_data_actualiz_cote,,23
field_geolocation_demo_single,field_geolocation_demo_single,,23
field_km,field_km,,23
field_localitate_grafic,field_localitate_grafic,,23
field_localitatea,field_localitatea,,23
field_temperatura_masurata,field_temperatura_masurata,,23
field_tendinta_120h,field_tendinta_120h,,23
field_tendinta_24h,field_tendinta_24h,,23
field_tendinta_48h,field_tendinta_48h,,23
field_tendinta_72h,field_tendinta_72h,,23
field_tendinta_96h,field_tendinta_96h,,23
field_variatia,field_variatia,,23
format,format,,69
guid,guid,,23
hash,hash,,23
imported,imported,,23
item,item,,23
langcode,langcode,,46
lat,lat,,23
lng,lng,,23
nid,nid,,23
path,path,,23
pid,pid,,23
promote,promote,,23
response,response,,1
revision_timestamp,revision_timestamp,,23
revision_translation_affected,revision_translation_affected,,23
revision_uid,revision_uid,,23
status,status,,23
sticky,sticky,,23
target_id,target_id,,92
target_type,target_type,,92
target_uuid,target_uuid,,92
title,title,,23
type,type,,23
uid,uid,,23
url,url,,69
uuid,uuid,,23
value,value,,667
vid,vid,,23
