station_id,lead_hours,n_pairs,mean_signed_error_cm,mae_cm,rmse_cm,bias_cm,within_5cm_pct,within_10cm_pct,within_20cm_pct,first_date,last_date,maturity
03013570-89c3-468d-929e-389aa605e929,24,5,-0.4,0.8,0.8944271909999159,-0.4,100,100,100,2026-08-03,2026-08-08,Date insuficiente
03013570-89c3-468d-929e-389aa605e929,48,4,-0.25,1.25,1.5,-0.25,100,100,100,2026-08-04,2026-08-08,Date insuficiente
03013570-89c3-468d-929e-389aa605e929,72,3,0,0.6666666666666666666666666667,0.816496580927726,0,100,100,100,2026-08-05,2026-08-08,Date insuficiente
03013570-89c3-468d-929e-389aa605e929,96,2,-1,1,1,-1,100,100,100,2026-08-06,2026-08-08,Date insuficiente
03013570-89c3-468d-929e-389aa605e929,120,1,-1,1,1,-1,100,100,100,2026-08-07,2026-08-07,Date insuficiente
031cc7fd-3f5f-4d3f-8c42-01438e8dd69a,24,0,,,,,,,,,,Date insuficiente
031cc7fd-3f5f-4d3f-8c42-01438e8dd69a,48,0,,,,,,,,,,Date insuficiente
031cc7fd-3f5f-4d3f-8c42-01438e8dd69a,72,0,,,,,,,,,,Date insuficiente
031cc7fd-3f5f-4d3f-8c42-01438e8dd69a,96,0,,,,,,,,,,Date insuficiente
031cc7fd-3f5f-4d3f-8c42-01438e8dd69a,120,0,,,,,,,,,,Date insuficiente
09b542d8-41d7-4746-8d84-e081f76a8c37,24,5,18.8,18.8,18.973665961010276,18.8,0,0,60,2026-08-03,2026-08-08,Date insuficiente
09b542d8-41d7-4746-8d84-e081f76a8c37,48,4,20.25,20.25,20.291623887703025,20.25,0,0,50,2026-08-04,2026-08-08,Date insuficiente
09b542d8-41d7-4746-8d84-e081f76a8c37,72,3,20.33333333333333333333333333,20.33333333333333333333333333,20.33879708012907,20.33333333333333333333333333,0,0,66.66666666666666666666666667,2026-08-05,2026-08-08,Date insuficiente
09b542d8-41d7-4746-8d84-e081f76a8c37,96,2,21,21,21.02379604162864,21,0,0,50,2026-08-06,2026-08-08,Date insuficiente
09b542d8-41d7-4746-8d84-e081f76a8c37,120,1,20,20,20,20,0,0,100,2026-08-07,2026-08-07,Date insuficiente
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,24,0,,,,,,,,,,Date insuficiente
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,48,0,,,,,,,,,,Date insuficiente
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,72,0,,,,,,,,,,Date insuficiente
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,96,0,,,,,,,,,,Date insuficiente
1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,120,0,,,,,,,,,,Date insuficiente
264afec2-a181-408b-979c-473e5eaf4940,24,0,,,,,,,,,,Date insuficiente
264afec2-a181-408b-979c-473e5eaf4940,48,0,,,,,,,,,,Date insuficiente
264afec2-a181-408b-979c-473e5eaf4940,72,0,,,,,,,,,,Date insuficiente
264afec2-a181-408b-979c-473e5eaf4940,96,0,,,,,,,,,,Date insuficiente
264afec2-a181-408b-979c-473e5eaf4940,120,0,,,,,,,,,,Date insuficiente
267d20a8-8a85-4d85-97e1-8aee686e9535,24,5,-2,2,2.756809750418044,-2,100,100,100,2026-08-03,2026-08-08,Date insuficiente
267d20a8-8a85-4d85-97e1-8aee686e9535,48,4,-3,3,3.6742346141747673,-3,75,100,100,2026-08-04,2026-08-08,Date insuficiente
267d20a8-8a85-4d85-97e1-8aee686e9535,72,3,-4.333333333333333333333333333,4.333333333333333333333333333,5.446711546122731,-4.333333333333333333333333333,66.66666666666666666666666667,100,100,2026-08-05,2026-08-08,Date insuficiente
267d20a8-8a85-4d85-97e1-8aee686e9535,96,2,-6,6,6.324555320336759,-6,50,100,100,2026-08-06,2026-08-08,Date insuficiente
267d20a8-8a85-4d85-97e1-8aee686e9535,120,1,-9,9,9,-9,0,100,100,2026-08-07,2026-08-07,Date insuficiente
29f3d156-04e1-46bc-b699-bbea096e212f,24,5,-1.4,1.4,1.61245154965971,-1.4,100,100,100,2026-08-03,2026-08-08,Date insuficiente
29f3d156-04e1-46bc-b699-bbea096e212f,48,4,-2,2,2.6457513110645907,-2,100,100,100,2026-08-04,2026-08-08,Date insuficiente
29f3d156-04e1-46bc-b699-bbea096e212f,72,3,-2.333333333333333333333333333,2.333333333333333333333333333,2.886751345948129,-2.333333333333333333333333333,100,100,100,2026-08-05,2026-08-08,Date insuficiente
29f3d156-04e1-46bc-b699-bbea096e212f,96,2,-5,5,5.0990195135927845,-5,50,100,100,2026-08-06,2026-08-08,Date insuficiente
29f3d156-04e1-46bc-b699-bbea096e212f,120,1,-7,7,7,-7,0,100,100,2026-08-07,2026-08-07,Date insuficiente
3d63f295-2216-491e-86ba-a0e19b6b5fa3,24,0,,,,,,,,,,Date insuficiente
3d63f295-2216-491e-86ba-a0e19b6b5fa3,48,0,,,,,,,,,,Date insuficiente
3d63f295-2216-491e-86ba-a0e19b6b5fa3,72,0,,,,,,,,,,Date insuficiente
3d63f295-2216-491e-86ba-a0e19b6b5fa3,96,0,,,,,,,,,,Date insuficiente
3d63f295-2216-491e-86ba-a0e19b6b5fa3,120,0,,,,,,,,,,Date insuficiente
434d580b-1bc9-4210-aea9-3d263e8251fe,24,5,0.6,0.6,1,0.6,100,100,100,2026-08-03,2026-08-08,Date insuficiente
434d580b-1bc9-4210-aea9-3d263e8251fe,48,4,1.25,1.25,1.5,1.25,100,100,100,2026-08-04,2026-08-08,Date insuficiente
434d580b-1bc9-4210-aea9-3d263e8251fe,72,3,2,2,2.581988897471611,2,100,100,100,2026-08-05,2026-08-08,Date insuficiente
434d580b-1bc9-4210-aea9-3d263e8251fe,96,2,2.5,2.5,2.9154759474226504,2.5,100,100,100,2026-08-06,2026-08-08,Date insuficiente
434d580b-1bc9-4210-aea9-3d263e8251fe,120,1,1,1,1,1,100,100,100,2026-08-07,2026-08-07,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,24,5,0,0.8,0.8944271909999159,0,100,100,100,2026-08-03,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,48,4,0.75,1.25,1.3228756555322954,0.75,100,100,100,2026-08-04,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,72,3,1.333333333333333333333333333,1.333333333333333333333333333,1.632993161855452,1.333333333333333333333333333,100,100,100,2026-08-05,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,96,2,1.5,1.5,1.5811388300841898,1.5,100,100,100,2026-08-06,2026-08-08,Date insuficiente
5f0aaecc-01c1-4828-be3a-405bf48702b8,120,1,1,1,1,1,100,100,100,2026-08-07,2026-08-07,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,24,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,48,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,72,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,96,0,,,,,,,,,,Date insuficiente
657e4b68-9e17-4102-a240-b2cf2f34ba27,120,0,,,,,,,,,,Date insuficiente
733c61e2-3083-4766-9b49-9c51b6e6c7cc,24,5,-1.2,1.2,1.6733200530681511,-1.2,100,100,100,2026-08-03,2026-08-08,Date insuficiente
