record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-03T03:00:00+03:00,2026-08-03,,544,0,28,valid
observation,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-04T03:00:00+03:00,2026-08-04,,544,0,28,valid
observation,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-05T03:00:00+03:00,2026-08-05,,544,0,28,valid
observation,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-06T03:00:00+03:00,2026-08-06,,542,-2,28,valid
observation,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-07T03:00:00+03:00,2026-08-07,,542,0,28,valid
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-07T03:00:00+03:00,2026-08-07,120,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-03T03:00:00+03:00,2026-08-03,24,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-04T03:00:00+03:00,2026-08-04,48,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-05T03:00:00+03:00,2026-08-05,72,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-06T03:00:00+03:00,2026-08-06,96,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-09T03:00:00+03:00,2026-08-09,120,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-05T03:00:00+03:00,2026-08-05,24,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-06T03:00:00+03:00,2026-08-06,48,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-07T03:00:00+03:00,2026-08-07,72,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-08T03:00:00+03:00,2026-08-08,96,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-10T03:00:00+03:00,2026-08-10,120,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-06T03:00:00+03:00,2026-08-06,24,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-07T03:00:00+03:00,2026-08-07,48,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-08T03:00:00+03:00,2026-08-08,72,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-09T03:00:00+03:00,2026-08-09,96,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-11T03:00:00+03:00,2026-08-11,120,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-07T03:00:00+03:00,2026-08-07,24,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-08T03:00:00+03:00,2026-08-08,48,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-09T03:00:00+03:00,2026-08-09,72,,,,missing_forecast_encoded_as_zero
forecast,1a87220f-e0ae-4cf3-b921-e1e5b73f5f75,Baziaș,2026-08-10T03:00:00+03:00,2026-08-10,96,,,,missing_forecast_encoded_as_zero
