record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-03T03:00:00+03:00,2026-08-03,,-160,-4,27.5,valid
observation,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-04T03:00:00+03:00,2026-08-04,,-165,-5,27.5,valid
observation,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-05T03:00:00+03:00,2026-08-05,,-168,-3,27.5,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-07T03:00:00+03:00,2026-08-07,120,-172,,,xml_html_value_mismatch
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-03T03:00:00+03:00,2026-08-03,24,-160,,,xml_html_value_mismatch
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-04T03:00:00+03:00,2026-08-04,48,-164,,,xml_html_value_mismatch
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-05T03:00:00+03:00,2026-08-05,72,-167,,,xml_html_value_mismatch
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-06T03:00:00+03:00,2026-08-06,96,-170,,,xml_html_value_mismatch
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-09T03:00:00+03:00,2026-08-09,120,-174,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-05T03:00:00+03:00,2026-08-05,24,-168,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-06T03:00:00+03:00,2026-08-06,48,-170,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-07T03:00:00+03:00,2026-08-07,72,-171,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-08T03:00:00+03:00,2026-08-08,96,-172,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-10T03:00:00+03:00,2026-08-10,120,-173,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-06T03:00:00+03:00,2026-08-06,24,-170,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-07T03:00:00+03:00,2026-08-07,48,-171,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-08T03:00:00+03:00,2026-08-08,72,-172,,,valid
forecast,a4976c0d-d21d-4bda-b6bc-c19c0edc6123,Calafat,2026-08-09T03:00:00+03:00,2026-08-09,96,-173,,,valid
