record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-03T03:00:00+03:00,2026-08-03,,-164,-1,27.5,valid
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-04T03:00:00+03:00,2026-08-04,,-165,-1,27.5,valid
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-05T03:00:00+03:00,2026-08-05,,-166,-1,28,valid
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-06T03:00:00+03:00,2026-08-06,,-167,-1,28,valid
observation,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-07T03:00:00+03:00,2026-08-07,,-171,-4,28,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-07T03:00:00+03:00,2026-08-07,120,-178,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-03T03:00:00+03:00,2026-08-03,24,-164,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-04T03:00:00+03:00,2026-08-04,48,-166,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-05T03:00:00+03:00,2026-08-05,72,-169,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-06T03:00:00+03:00,2026-08-06,96,-173,,,xml_html_value_mismatch
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-09T03:00:00+03:00,2026-08-09,120,-181,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-05T03:00:00+03:00,2026-08-05,24,-168,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-06T03:00:00+03:00,2026-08-06,48,-172,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-07T03:00:00+03:00,2026-08-07,72,-175,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-08T03:00:00+03:00,2026-08-08,96,-179,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-10T03:00:00+03:00,2026-08-10,120,-179,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-06T03:00:00+03:00,2026-08-06,24,-169,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-07T03:00:00+03:00,2026-08-07,48,-172,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-08T03:00:00+03:00,2026-08-08,72,-175,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-09T03:00:00+03:00,2026-08-09,96,-177,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-11T03:00:00+03:00,2026-08-11,120,-181,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-07T03:00:00+03:00,2026-08-07,24,-172,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-08T03:00:00+03:00,2026-08-08,48,-176,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-09T03:00:00+03:00,2026-08-09,72,-178,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-10T03:00:00+03:00,2026-08-10,96,-180,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-12T03:00:00+03:00,2026-08-12,120,-183,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-08T03:00:00+03:00,2026-08-08,24,-177,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-09T03:00:00+03:00,2026-08-09,48,-179,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-10T03:00:00+03:00,2026-08-10,72,-181,,,valid
forecast,29f3d156-04e1-46bc-b699-bbea096e212f,Călărași,2026-08-11T03:00:00+03:00,2026-08-11,96,-182,,,valid
