record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-03T03:00:00+03:00,2026-08-03,,-158,-1,27.5,valid
observation,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-04T03:00:00+03:00,2026-08-04,,-159,-1,27.5,valid
observation,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-05T03:00:00+03:00,2026-08-05,,-161,-2,28,valid
observation,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-06T03:00:00+03:00,2026-08-06,,-165,-4,28,valid
observation,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-07T03:00:00+03:00,2026-08-07,,-169,-4,28,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-07T03:00:00+03:00,2026-08-07,120,-170,,,xml_html_value_mismatch
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-03T03:00:00+03:00,2026-08-03,24,-159,,,xml_html_value_mismatch
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-04T03:00:00+03:00,2026-08-04,48,-161,,,xml_html_value_mismatch
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-05T03:00:00+03:00,2026-08-05,72,-164,,,xml_html_value_mismatch
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-06T03:00:00+03:00,2026-08-06,96,-167,,,xml_html_value_mismatch
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-09T03:00:00+03:00,2026-08-09,120,-172,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-05T03:00:00+03:00,2026-08-05,24,-162,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-06T03:00:00+03:00,2026-08-06,48,-165,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-07T03:00:00+03:00,2026-08-07,72,-168,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-08T03:00:00+03:00,2026-08-08,96,-170,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-10T03:00:00+03:00,2026-08-10,120,-171,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-06T03:00:00+03:00,2026-08-06,24,-165,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-07T03:00:00+03:00,2026-08-07,48,-167,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-08T03:00:00+03:00,2026-08-08,72,-169,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-09T03:00:00+03:00,2026-08-09,96,-170,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-11T03:00:00+03:00,2026-08-11,120,-173,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-07T03:00:00+03:00,2026-08-07,24,-169,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-08T03:00:00+03:00,2026-08-08,48,-171,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-09T03:00:00+03:00,2026-08-09,72,-172,,,valid
forecast,e3a30b68-5b3e-42d0-b6e7-82411594d811,Giurgiu,2026-08-10T03:00:00+03:00,2026-08-10,96,-173,,,valid
