record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-03T03:00:00+03:00,2026-08-03,,-120,-1,27.5,valid
observation,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-04T03:00:00+03:00,2026-08-04,,-121,-1,27.5,valid
observation,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-05T03:00:00+03:00,2026-08-05,,-122,-1,27.5,valid
observation,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-06T03:00:00+03:00,2026-08-06,,-125,-3,28,valid
observation,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-07T03:00:00+03:00,2026-08-07,,-130,-5,28,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-07T03:00:00+03:00,2026-08-07,120,-130,,,xml_html_value_mismatch
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-03T03:00:00+03:00,2026-08-03,24,-120,,,xml_html_value_mismatch
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-04T03:00:00+03:00,2026-08-04,48,-122,,,xml_html_value_mismatch
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-05T03:00:00+03:00,2026-08-05,72,-124,,,xml_html_value_mismatch
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-06T03:00:00+03:00,2026-08-06,96,-127,,,xml_html_value_mismatch
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-09T03:00:00+03:00,2026-08-09,120,-132,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-05T03:00:00+03:00,2026-08-05,24,-124,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-06T03:00:00+03:00,2026-08-06,48,-126,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-07T03:00:00+03:00,2026-08-07,72,-129,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-08T03:00:00+03:00,2026-08-08,96,-131,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-10T03:00:00+03:00,2026-08-10,120,-131,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-06T03:00:00+03:00,2026-08-06,24,-124,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-07T03:00:00+03:00,2026-08-07,48,-126,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-08T03:00:00+03:00,2026-08-08,72,-128,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-09T03:00:00+03:00,2026-08-09,96,-130,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-11T03:00:00+03:00,2026-08-11,120,-133,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-07T03:00:00+03:00,2026-08-07,24,-128,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-08T03:00:00+03:00,2026-08-08,48,-130,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-09T03:00:00+03:00,2026-08-09,72,-132,,,valid
forecast,e5eea969-9ccd-4b3e-9aa5-439c8f0d1ff0,Oltenița,2026-08-10T03:00:00+03:00,2026-08-10,96,-132,,,valid
