station_id,country_code,station_name,station_name_local,geocoding_query,latitude,longitude,coordinate_method,coordinate_source,coordinate_provider,geocoder_result_label,geocoder_result_type,coordinate_confidence,review_status,review_notes,geocoded_at,source_url
bg-bajkal-automatic,BG,Bajkal,Bajkal,"Bajkal, Bulgaria",43.7086971,24.4227581,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Baikal, Dolna Mitropolia, Pleven, Bulgaria",village,low,required,name_match=0.833; country and conservative Danube-sector checks passed,2026-08-04T18:43:50Z,https://nominatim.openstreetmap.org/search?q=Bajkal%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-gomotartsi-automatic,BG,Gomotartsi,Gomotartsi,"Gomotartsi, Bulgaria",44.0912358,22.9679382,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Gomotartsi, Vidin, 3772, Bulgaria",village,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:43:52Z,https://nominatim.openstreetmap.org/search?q=Gomotartsi%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-kozloduj-automatic,BG,Kozloduj,Kozloduj,"Kozloduy, Bulgaria",43.7750934,23.7293313,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Kozloduy, Kozlodui, Vratsa, 3320, Bulgaria",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:47:57Z,https://nominatim.openstreetmap.org/search?q=Kozloduy%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-lom-automatic,BG,Lom,Lom,"Lom, Bulgaria",43.8201697,23.2386638,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Lom, Montana, 3600, Bulgaria",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:43:55Z,https://nominatim.openstreetmap.org/search?q=Lom%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-lom-manual,BG,Lom,Lom,"Lom, Bulgaria",43.8201697,23.2386638,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Lom, Montana, 3600, Bulgaria",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:43:55Z,https://nominatim.openstreetmap.org/search?q=Lom%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-malak-preslavets-automatic,BG,Malak Preslavets,Malak Preslavets,"Malak Preslavets, Bulgaria",44.06541,26.8449,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Malak Preslavets, Glavinitsa, Silistra, 7620, Bulgaria",village,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:43:57Z,https://nominatim.openstreetmap.org/search?q=Malak+Preslavets%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-nikopol-automatic,BG,Nikopol,Nikopol,"Nikopol, Bulgaria",43.7070803,24.8996563,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Nikopol, Pleven, 5940, Bulgaria",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:43:58Z,https://nominatim.openstreetmap.org/search?q=Nikopol%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-nikopol-manual,BG,Nikopol,Nikopol,"Nikopol, Bulgaria",43.7070803,24.8996563,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Nikopol, Pleven, 5940, Bulgaria",town,medium,accepted,name_match=1.000; country and conservative Danube-sector checks passed,2026-08-04T18:43:58Z,https://nominatim.openstreetmap.org/search?q=Nikopol%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-novo-selo-automatic,BG,Novo Selo,Novo Selo,"Novo Selo, Vidin, Bulgaria",44.1621209,22.7839149,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Novo selo, Novo Selo, Vidin, 3784, Bulgaria",village,low,required,name_match=0.750; country and conservative Danube-sector checks passed,2026-08-04T18:47:59Z,https://nominatim.openstreetmap.org/search?q=Novo+Selo%2C+Vidin%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
bg-novo-selo-manual,BG,Novo Selo,Novo Selo,"Novo Selo, Vidin, Bulgaria",44.1621209,22.7839149,geocoded_locality,OpenStreetMap locality result via Nominatim,OpenStreetMap Nominatim,"Novo selo, Novo Selo, Vidin, 3784, Bulgaria",village,low,required,name_match=0.750; country and conservative Danube-sector checks passed,2026-08-04T18:47:59Z,https://nominatim.openstreetmap.org/search?q=Novo+Selo%2C+Vidin%2C+Bulgaria&countrycodes=bg&format=jsonv2&addressdetails=1&namedetails=1&limit=5&dedupe=1&accept-language=en
