country_code,station_id,physical_station_id,source_stream_id,source_stream_type,is_primary_stream,source_station_id,isrs_location_code,station_name,station_name_local,workbook_filename,workbook_sheet,workbook_row,workbook_version,workbook_sha256,function,un_locode,object_code,hectometre,waterway_km,latitude,longitude,source_coordinate_raw,source_crs,coordinate_method,coordinate_source,coordinate_provider,coordinate_confidence,coordinate_review_status,is_exact_station_location,coordinate_verified_at,low_reference_cm,high_reference_cm,gauge_zero_cm,geodetic_reference,provenance_note
HR,hr-5001,hr-5001,HRALJ00001G000413803:daily,daily,true,5001,HRALJ00001G000413803,Aljmas,Aljmaš,hr-ris_index-v1_7.xls,RIS Index,25,1.7,3ef66a6ad4d7c35c6cab601dee93cb4bddc8f71a953b682b0f48f9117eea31f1,wtwgag,ALJ,G0004,13803,1380.3,45.531222,18.951129,45.531222|18.951129,EPSG:4326,official_station_coordinate,Croatian RIS Index,AVP,high,accepted,true,2015-12-01,10,610,7808,ADR,Official RIS gauge row; Date_Info 2015-12-01
HR,hr-5170,hr-5170,HRBAT00001G000514246:daily,daily,true,5170,HRBAT00001G000514246,Batina,Batina,hr-ris_index-v1_7.xls,RIS Index,30,1.7,3ef66a6ad4d7c35c6cab601dee93cb4bddc8f71a953b682b0f48f9117eea31f1,wtwgag,BAT,G0005,14246,1424.6,45.845865,18.854790,45.845865|18.854790,EPSG:4326,official_station_coordinate,Croatian RIS Index,AVP,high,accepted,true,2015-12-01,8,615,8045,ADR,Official RIS gauge row; Date_Info 2015-12-01
HR,hr-5070,hr-5070,HRVUK00001G000213334:daily,daily,true,5070,HRVUK00001G000213334,Vukovar,Vukovar,hr-ris_index-v1_7.xls,RIS Index,16,1.7,3ef66a6ad4d7c35c6cab601dee93cb4bddc8f71a953b682b0f48f9117eea31f1,wtwgag,VUK,G0002,13334,1333.4,45.354586,19.002853,45.354586|19.002853,EPSG:4326,official_station_coordinate,Croatian RIS Index,AVP,high,accepted,true,2015-12-01,17,544,7619,ADR,Official RIS gauge row; Date_Info 2015-12-01
BG,bg-novo-selo-manual,bg-novo-selo,BGXXX00001G001508336:manual,manual,false,BGXXX00001G001508336,BGXXX00001G001508336,Novo Selo,водомерен пост Ново село,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,9,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,XXX,G0015,08336,833.6,44.16513330,22.78537780,44.16513330|22.78537780,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,,,,Baltic s.,Official RIS gauge row
BG,bg-vidin-manual,bg-vidin,BGVID00001G000807903:manual,manual,true,BGVID00001G000807903,BGVID00001G000807903,Vidin,АХС Видин,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,52,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,VID,G0008,07903,790.3,43.98290300,22.87731200,43.98290300|22.87731200,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,159,802,2455,Baltic s.,Official RIS gauge row
BG,bg-lom-manual,bg-lom,BGLOM00001G001407433:manual,manual,false,BGLOM00001G001407433,BGLOM00001G001407433,Lom,водомерен пост Лом,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,78,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,LOM,G0014,07433,743.3,43.83220560,23.22658612,43.83220560|23.22658612,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,142,795,2265,Baltic s.,Official RIS gauge row
BG,bg-oryahovo-manual,bg-oryahovo,BGOKH00001G001306780:manual,manual,false,BGOKH00001G001306780,BGOKH00001G001306780,Oryahovo,водомерен пост Оряхово,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,127,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,OKH,G0013,06780,678.0,43.74105000,23.96297220,43.74105000|23.96297220,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,52,658,2134,Baltic s.,Official RIS gauge row
BG,bg-nikopol-manual,bg-nikopol,BGNPO00001G000505975:manual,manual,false,BGNPO00001G000505975,BGNPO00001G000505975,Nikopol,АХС Никопол,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,158,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,NPO,G0005,05975,597.5,43.70526100,24.89083300,43.70526100|24.89083300,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,158,776,1702,Baltic s.,Workbook demonstrates one RIS gauge object reused for both APPD streams
BG,bg-svishtov-manual,bg-svishtov,BGSVZ00001G001205543:manual,manual,false,BGSVZ00001G001205543,BGSVZ00001G001205543,Svishtov,водомерен пост Свищов,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,183,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,SVZ,G0012,05543,554.3,43.62322439,25.34672248,43.62322439|25.34672248,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,68,782,1489,Baltic s.,Official RIS gauge row
BG,bg-ruse-manual,bg-ruse,BGRDU00001G001104956:manual,manual,false,BGRDU00001G001104956,BGRDU00001G001104956,Ruse,водомерен пост Русе,RIS_Index_BG_01.07.2021_v2p1.xlsx,RIS Index,233,2.1,0824b69d3bb8deb042514b4fa5e7bfb2bf5b36eebd3cf0e654ad20de4fc3c4d4,wtwgag,RDU,G0011,04956,495.6,43.84789720,25.94505827,43.84789720|25.94505827,EPSG:4326,official_station_coordinate,Bulgarian RIS Index,RIS Index Bulgaria,high,accepted,true,2021-07-01,52,783,1180,Baltic s.,Official RIS gauge row
