tag,count
alias,23
body,23
changed,23
content_translation_outdated,23
content_translation_source,23
created,23
data,23
default_langcode,23
display_page_title,23
feeds_item,23
field_cota,23
field_data_actualizare_prognoze,23
field_field_data_actualiz_cote,23
field_geolocation_demo_single,23
field_km,23
field_localitate_grafic,23
field_localitatea,23
field_temperatura_masurata,23
field_tendinta_120h,23
field_tendinta_24h,23
field_tendinta_48h,23
field_tendinta_72h,23
field_tendinta_96h,23
field_variatia,23
format,69
guid,23
hash,23
imported,23
item,23
langcode,46
lat,23
lng,23
nid,23
path,23
pid,23
promote,23
response,1
revision_timestamp,23
revision_translation_affected,23
revision_uid,23
status,23
sticky,23
target_id,92
target_type,92
target_uuid,92
title,23
type,23
uid,23
url,69
uuid,23
value,667
vid,23
