record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-03T03:00:00+03:00,2026-08-03,,-87,-3,27.5,valid
observation,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-04T03:00:00+03:00,2026-08-04,,-90,-3,27.5,valid
observation,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-05T03:00:00+03:00,2026-08-05,,-94,-4,27.5,valid
observation,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-06T03:00:00+03:00,2026-08-06,,-98,-4,28,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-07T03:00:00+03:00,2026-08-07,120,-101,,,xml_html_value_mismatch
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-03T03:00:00+03:00,2026-08-03,24,-88,,,xml_html_value_mismatch
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-04T03:00:00+03:00,2026-08-04,48,-92,,,xml_html_value_mismatch
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-05T03:00:00+03:00,2026-08-05,72,-95,,,xml_html_value_mismatch
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-06T03:00:00+03:00,2026-08-06,96,-99,,,xml_html_value_mismatch
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-09T03:00:00+03:00,2026-08-09,120,-103,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-05T03:00:00+03:00,2026-08-05,24,-95,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-06T03:00:00+03:00,2026-08-06,48,-98,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-07T03:00:00+03:00,2026-08-07,72,-100,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-08T03:00:00+03:00,2026-08-08,96,-101,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-10T03:00:00+03:00,2026-08-10,120,-101,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-06T03:00:00+03:00,2026-08-06,24,-97,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-07T03:00:00+03:00,2026-08-07,48,-98,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-08T03:00:00+03:00,2026-08-08,72,-99,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-09T03:00:00+03:00,2026-08-09,96,-100,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-11T03:00:00+03:00,2026-08-11,120,-103,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-07T03:00:00+03:00,2026-08-07,24,-100,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-08T03:00:00+03:00,2026-08-08,48,-101,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-09T03:00:00+03:00,2026-08-09,72,-102,,,valid
forecast,03013570-89c3-468d-929e-389aa605e929,Bechet,2026-08-10T03:00:00+03:00,2026-08-10,96,-102,,,valid
