record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-03T03:00:00+03:00,2026-08-03,,26,0,27.5,valid
observation,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-04T03:00:00+03:00,2026-08-04,,28,2,27.5,valid
observation,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-05T03:00:00+03:00,2026-08-05,,28,0,27.5,valid
observation,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-06T03:00:00+03:00,2026-08-06,,27,-1,27.5,valid
observation,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-07T03:00:00+03:00,2026-08-07,,27,0,27.5,valid
observation,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-08T03:00:00+03:00,2026-08-08,,25,-2,28,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-07T03:00:00+03:00,2026-08-07,120,16,,,xml_html_value_mismatch
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-03T03:00:00+03:00,2026-08-03,24,23,,,xml_html_value_mismatch
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-04T03:00:00+03:00,2026-08-04,48,21,,,xml_html_value_mismatch
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-05T03:00:00+03:00,2026-08-05,72,20,,,xml_html_value_mismatch
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-06T03:00:00+03:00,2026-08-06,96,18,,,xml_html_value_mismatch
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-09T03:00:00+03:00,2026-08-09,120,17,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-05T03:00:00+03:00,2026-08-05,24,26,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-06T03:00:00+03:00,2026-08-06,48,24,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-07T03:00:00+03:00,2026-08-07,72,22,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-08T03:00:00+03:00,2026-08-08,96,20,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-10T03:00:00+03:00,2026-08-10,120,21,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-06T03:00:00+03:00,2026-08-06,24,27,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-07T03:00:00+03:00,2026-08-07,48,26,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-08T03:00:00+03:00,2026-08-08,72,24,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-09T03:00:00+03:00,2026-08-09,96,22,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-11T03:00:00+03:00,2026-08-11,120,19,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-07T03:00:00+03:00,2026-08-07,24,26,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-08T03:00:00+03:00,2026-08-08,48,24,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-09T03:00:00+03:00,2026-08-09,72,22,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-10T03:00:00+03:00,2026-08-10,96,21,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-12T03:00:00+03:00,2026-08-12,120,18,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-08T03:00:00+03:00,2026-08-08,24,24,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-09T03:00:00+03:00,2026-08-09,48,22,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-10T03:00:00+03:00,2026-08-10,72,20,,,valid
forecast,c726848a-12e0-4961-be36-8a8d29ce9106,Galați,2026-08-11T03:00:00+03:00,2026-08-11,96,19,,,valid
