record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-03T03:00:00+03:00,2026-08-03,,2510,-5,28,valid
observation,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-04T03:00:00+03:00,2026-08-04,,2515,5,28,valid
observation,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-05T03:00:00+03:00,2026-08-05,,2515,0,28,valid
observation,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-06T03:00:00+03:00,2026-08-06,,2510,-5,28,valid
observation,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-07T03:00:00+03:00,2026-08-07,,2508,-2,28,valid
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-07T03:00:00+03:00,2026-08-07,120,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-03T03:00:00+03:00,2026-08-03,24,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-04T03:00:00+03:00,2026-08-04,48,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-05T03:00:00+03:00,2026-08-05,72,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-06T03:00:00+03:00,2026-08-06,96,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-09T03:00:00+03:00,2026-08-09,120,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-05T03:00:00+03:00,2026-08-05,24,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-06T03:00:00+03:00,2026-08-06,48,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-07T03:00:00+03:00,2026-08-07,72,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-08T03:00:00+03:00,2026-08-08,96,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-10T03:00:00+03:00,2026-08-10,120,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-06T03:00:00+03:00,2026-08-06,24,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-07T03:00:00+03:00,2026-08-07,48,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-08T03:00:00+03:00,2026-08-08,72,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-09T03:00:00+03:00,2026-08-09,96,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-11T03:00:00+03:00,2026-08-11,120,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-07T03:00:00+03:00,2026-08-07,24,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-08T03:00:00+03:00,2026-08-08,48,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-09T03:00:00+03:00,2026-08-09,72,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-10T03:00:00+03:00,2026-08-10,96,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-12T03:00:00+03:00,2026-08-12,120,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-08T03:00:00+03:00,2026-08-08,24,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-09T03:00:00+03:00,2026-08-09,48,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-10T03:00:00+03:00,2026-08-10,72,,,,missing_forecast_encoded_as_zero
forecast,bbf5e3ee-6ed6-4b87-afee-d78643847aea,Orșova,2026-08-11T03:00:00+03:00,2026-08-11,96,,,,missing_forecast_encoded_as_zero
