record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-03T03:00:00+03:00,2026-08-03,,21,0,27.5,valid
observation,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-04T03:00:00+03:00,2026-08-04,,24,3,27.5,valid
observation,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-05T03:00:00+03:00,2026-08-05,,22,-2,27.5,valid
observation,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-06T03:00:00+03:00,2026-08-06,,23,1,27.5,valid
observation,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-07T03:00:00+03:00,2026-08-07,,22,-1,27.5,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-07T03:00:00+03:00,2026-08-07,120,14,,,xml_html_value_mismatch
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-03T03:00:00+03:00,2026-08-03,24,19,,,xml_html_value_mismatch
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-04T03:00:00+03:00,2026-08-04,48,18,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-05T03:00:00+03:00,2026-08-05,72,17,,,xml_html_value_mismatch
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-06T03:00:00+03:00,2026-08-06,96,16,,,xml_html_value_mismatch
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-09T03:00:00+03:00,2026-08-09,120,17,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-05T03:00:00+03:00,2026-08-05,24,24,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-06T03:00:00+03:00,2026-08-06,48,22,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-07T03:00:00+03:00,2026-08-07,72,21,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-08T03:00:00+03:00,2026-08-08,96,19,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-10T03:00:00+03:00,2026-08-10,120,17,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-06T03:00:00+03:00,2026-08-06,24,21,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-07T03:00:00+03:00,2026-08-07,48,20,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-08T03:00:00+03:00,2026-08-08,72,19,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-09T03:00:00+03:00,2026-08-09,96,18,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-11T03:00:00+03:00,2026-08-11,120,17,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-07T03:00:00+03:00,2026-08-07,24,22,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-08T03:00:00+03:00,2026-08-08,48,21,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-09T03:00:00+03:00,2026-08-09,72,20,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-10T03:00:00+03:00,2026-08-10,96,18,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-12T03:00:00+03:00,2026-08-12,120,15,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-08T03:00:00+03:00,2026-08-08,24,22,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-09T03:00:00+03:00,2026-08-09,48,20,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-10T03:00:00+03:00,2026-08-10,72,17,,,valid
forecast,ec11d8f6-34c5-4d2d-afc2-4171b759c56a,Tulcea,2026-08-11T03:00:00+03:00,2026-08-11,96,16,,,valid
