record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-03T03:00:00+03:00,2026-08-03,,-55,-1,27.5,valid
observation,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-04T03:00:00+03:00,2026-08-04,,-57,-2,28,valid
observation,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-05T03:00:00+03:00,2026-08-05,,-60,-3,27.5,valid
observation,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-06T03:00:00+03:00,2026-08-06,,-64,-4,28,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-07T03:00:00+03:00,2026-08-07,120,-69,,,xml_html_value_mismatch
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-03T03:00:00+03:00,2026-08-03,24,-56,,,xml_html_value_mismatch
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-04T03:00:00+03:00,2026-08-04,48,-59,,,xml_html_value_mismatch
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-05T03:00:00+03:00,2026-08-05,72,-63,,,xml_html_value_mismatch
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-06T03:00:00+03:00,2026-08-06,96,-66,,,xml_html_value_mismatch
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-09T03:00:00+03:00,2026-08-09,120,-71,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-05T03:00:00+03:00,2026-08-05,24,-61,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-06T03:00:00+03:00,2026-08-06,48,-64,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-07T03:00:00+03:00,2026-08-07,72,-67,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-08T03:00:00+03:00,2026-08-08,96,-69,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-10T03:00:00+03:00,2026-08-10,120,-70,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-06T03:00:00+03:00,2026-08-06,24,-64,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-07T03:00:00+03:00,2026-08-07,48,-66,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-08T03:00:00+03:00,2026-08-08,72,-68,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-09T03:00:00+03:00,2026-08-09,96,-69,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-11T03:00:00+03:00,2026-08-11,120,-72,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-07T03:00:00+03:00,2026-08-07,24,-67,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-08T03:00:00+03:00,2026-08-08,48,-69,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-09T03:00:00+03:00,2026-08-09,72,-70,,,valid
forecast,fda97819-adbe-448c-bb6b-85e4aea435af,Zimnicea,2026-08-10T03:00:00+03:00,2026-08-10,96,-71,,,valid
