country_code,country_name,provider_id,provider_name,endpoint_id,endpoint_name,endpoint_url,official,documented,endpoint_type,protocol,format,method,authentication,status_local,status_github,status_hetzner,content_type,supports_station_list,supports_current_level,supports_history,supports_forecast,supports_discharge,supports_water_temperature,supports_variation,supports_coordinates,supports_river_km,supports_gauge_zero,supports_vertical_datum,supports_quality_flags,supports_last_modified,time_zone,update_frequency,history_limit,rate_limit,license,attribution_required,production_suitability,stability,notes,evidence_url
de,Germany,pegelonline_de,WSV PEGELONLINE,de-rest-stations,REST v2 station list,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU&includeTimeseries=true&includeCurrentMeasurement=true,yes,yes,REST API,HTTPS,JSON,GET,none,200,not-tested,not-tested,application/json,yes,yes,partial,partial,partial,partial,unknown,yes,yes,yes,yes,partial,partial,timestamp offset; download files always CET,timeseries-specific; 15 min observed in sample,about 30/31 days REST,not numerically documented,DL-DE-Zero-2.0,no,yes,stable,18 WSV rows and 9 viadonau rows in DONAU response; filter agency,https://www.pegelonline.wsv.de/webservice/dokuRestapi
de,Germany,pegelonline_de,WSV PEGELONLINE,de-hydas,HyDAS API 0.1.0,https://www.pegelonline.wsv.de/webservice/hydas,yes,yes,REST API beta,HTTPS,JSON,GET,none,not-tested,not-tested,not-tested,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DL-DE-Zero-2.0,unknown,no,beta,Official page says test/evaluation and recommends stable REST API.,https://www.pegelonline.wsv.de/webservice/hydas
de,Germany,pegelonline_de,WSV PEGELONLINE,de-download,PEGELONLINE downloads,https://www.pegelonline.wsv.de/webservice/downloads,yes,yes,download service,HTTPS,CSV,GET,none,not-tested,not-tested,not-tested,unknown,partial,partial,yes,unknown,partial,partial,unknown,unknown,unknown,unknown,unknown,unknown,unknown,CET year-round per documentation,unknown,raw values since 2000; free selection 31 days,unknown,DL-DE-Zero-2.0,unknown,partial,stable,unknown,https://www.pegelonline.wsv.de/webservice/downloads
de,Germany,pegelonline_de,WSV PEGELONLINE,de-wfs,Current data WFS,https://www.pegelonline.wsv.de/webservice/wfsAktuell,yes,yes,OGC WFS,HTTPS,GML/XML,GET,none,not-tested,not-tested,not-tested,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,DL-DE-Zero-2.0,unknown,partial,stable,unknown,https://www.pegelonline.wsv.de/webservice/wfsAktuell
at,Austria,viadonau_at,viadonau DoRIS,at-gauge-list,Gauge list,https://opendata2.doris-info.at/doris/api/1.0/gauge/list?VIADONAU_PARTNER_KEY=opendata,yes,yes,OpenAPI REST,HTTPS,JSON,GET,public test key; permanent partner key required,200,not-tested,not-tested,application/json,yes,no,no,partial,partial,unknown,unknown,yes,yes,yes,yes,unknown,unknown,not applicable to list,unknown,unknown,unknown,open service disclaimer; exact republication terms unclear,unknown,partial,stable/documented,10 gauge objects; opendata is explicitly a test key,https://opendata2.doris-info.at/v3/api-docs/Opendata
at,Austria,viadonau_at,viadonau DoRIS,at-gauge-status,Gauge status/history/forecast,https://opendata2.doris-info.at/doris/api/1.0/gauge/status,yes,yes,OpenAPI REST,HTTPS,JSON,GET,partner key query parameter,not-tested,not-tested,not-tested,unknown,no,yes,yes,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,timestamps returned; verify offset,unknown,unknown,unknown,open service disclaimer; exact republication terms unclear,unknown,partial,stable/documented,unknown,https://opendata2.doris-info.at/v3/api-docs/Opendata
sk,Slovakia,shmu_sk,SHMÚ,sk-water-levels,Current hydrology stations,https://www.shmu.sk/en/?id=hydro_vod_all&page=1&station_id=5140,yes,no,semantic HTML,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html,yes,yes,unknown,no,unknown,yes,partial,unknown,unknown,unknown,unknown,yes,unknown,unknown,15 min displayed,unknown,unknown,not identified,unknown,partial,HTML fragile,13 Dunaj stations; operational/unreviewed data,https://www.shmu.sk/en/?id=hydro_vod_all&page=1&station_id=5140
sk,Slovakia,shmu_sk,SHMÚ,sk-forecast,Hydrological forecast,https://www.shmu.sk/sk/index.php?id=hydro_vod_forecast&page=1&sort=sn-asc,yes,no,semantic HTML,HTTPS,HTML,GET,none,not-tested,not-tested,not-tested,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,4 times/day,48 h forecast,unknown,not identified,unknown,partial,HTML fragile,unknown,https://www.shmu.sk/sk/index.php?id=hydro_vod_forecast&page=1&sort=sn-asc
hu,Hungary,hydroinfo_hu,OVF Hydroinfo,hu-danube-current,Danube current table,https://www.hydroinfo.hu/tables/dunhif.html,yes,no,semantic HTML,HTTPS,HTML,GET,none,200,not-tested,not-tested,text/html,yes,yes,partial,no,yes,yes,yes,unknown,unknown,unknown,unknown,partial,unknown,table header/local time,daily table moments,unknown,unknown,not identified,unknown,partial,HTML fragile,"93 rows: 25 HU primary, 68 foreign republished",https://www.hydroinfo.hu/tables/dunhif.html
hu,Hungary,hydroinfo_hu,OVF Hydroinfo,hu-forecast,Mobile six-day forecast,https://www.hydroinfo.hu/mobil/en/hydroinfo.php,yes,no,semantic HTML,HTTPS,HTML,GET,none,not-tested,not-tested,not-tested,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,6-day forecast,unknown,not identified,unknown,partial,HTML fragile,unknown,https://www.hydroinfo.hu/mobil/en/hydroinfo.php
