country_code,provider_id,source_station_id,source_station_uuid,station_name_original,station_name_ascii,river_name,river_km,latitude,longitude,gauge_zero_value,gauge_zero_unit,vertical_datum,level_unit,discharge_unit,temperature_unit,station_type,active,source_url,metadata_url,notes,possible_cross_border_match_id,match_confidence,match_reason,human_review_required
at,pegelonline_de,42015,f7b5c3d3-33f6-4ba4-a509-cf2b1a9d7297,THEBNERSTRASSL,THEBNERSTRASSL,Danube,1879.2,,,133.26,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/f7b5c3d3-33f6-4ba4-a509-cf2b1a9d7297.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:thebnerstrassl,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
at,pegelonline_de,42014,35846b8b-e589-4654-9eb5-a650048f8468,WILDUNGSMAUER,WILDUNGSMAUER,Danube,1894.7,,,139.48,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/35846b8b-e589-4654-9eb5-a650048f8468.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:wildungsmauer,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
at,pegelonline_de,42013,ff44be4a-f934-446c-afb0-a1cf7702c48c,KORNEUBURG,KORNEUBURG,Danube,1941.5,,,159.87,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/ff44be4a-f934-446c-afb0-a1cf7702c48c.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:korneuburg,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
at,pegelonline_de,42012,ce4e3050-2d16-459a-8101-61535132398c,DÜRNSTEIN,DURNSTEIN,Danube,2009.2,,,191.2,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/ce4e3050-2d16-459a-8101-61535132398c.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:durnstein,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
at,pegelonline_de,42011,56178f74-b3ef-4192-aad5-4f82d4a91a59,KIENSTOCK,KIENSTOCK,Danube,2015.2,,,194.0,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/56178f74-b3ef-4192-aad5-4f82d4a91a59.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:kienstock,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
at,pegelonline_de,420091,f3bf0b0b-eba1-4da2-a973-7efb261e208e,GREIN,GREIN,Danube,2079.1,,,219.43,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/f3bf0b0b-eba1-4da2-a973-7efb261e208e.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:grein,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
at,pegelonline_de,42009,6b002fef-8101-4d60-9cb5-83532719ff2c,MAUTHAUSEN,MAUTHAUSEN,Danube,2111.0,,,235.98,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/6b002fef-8101-4d60-9cb5-83532719ff2c.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:mauthausen,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
at,pegelonline_de,420061,aec23fd6-9146-46c8-9004-02952388f2e3,WILHERING,WILHERING,Danube,2144.1,,,249.12,m ü. A.,Adriatic,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/aec23fd6-9146-46c8-9004-02952388f2e3.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:wilhering,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
de,pegelonline_de,10096001,99619dc5-9c88-45e9-a97d-653c41cda8a1,ERLAU,ERLAU,Danube,2214.5,48.567382,13.586813,282.648,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/99619dc5-9c88-45e9-a97d-653c41cda8a1.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:erlau,unknown,,yes
at,pegelonline_de,10094006,c389c9e2-a5d8-4104-a4cf-510ade44f143,ACHLEITEN,ACHLEITEN,Danube,2223.1,48.582047,13.503185,287.7,m. ü. NN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/c389c9e2-a5d8-4104-a4cf-510ade44f143.json,agency=VIA DONAU; preserve source agency; republished when agency is not WSV,danube:achleiten,medium,same provider agency/name can be compared to DoRIS; requires metadata review,yes
de,pegelonline_de,10092000,33ceb441-23bc-4ca6-9fcd-ac35d41ef117,PASSAU ILZSTADT,PASSAU ILZSTADT,Danube,2225.2,48.575198,13.478017,286.212,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/33ceb441-23bc-4ca6-9fcd-ac35d41ef117.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:passau-ilzstadt,unknown,,yes
de,pegelonline_de,10091013,4520c1a8-174c-4b95-9ca3-fe1e3f9d874a,PASSAU LUITPOLDBRÜCKE DFH,PASSAU LUITPOLDBRUCKE DFH,Danube,2225.75,48.575835,13.472833,,,,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/4520c1a8-174c-4b95-9ca3-fe1e3f9d874a.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:passau-luitpoldbrucke-dfh,unknown,,yes
de,pegelonline_de,10091008,9f12c405-35ac-4d90-9b7b-023be355867e,PASSAU DONAU,PASSAU DONAU,Danube,2226.7,48.576133,13.459076,286.439,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/9f12c405-35ac-4d90-9b7b-023be355867e.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:passau-donau,unknown,,yes
de,pegelonline_de,10090708,0fd56e0a-e32e-4b56-9cda-e0ce93d715c4,KACHLET SCHLEUSE UP,KACHLET SCHLEUSE UP,Danube,2230.3,48.578228,13.41269,289.978,m. ü. NHN,NHN,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/0fd56e0a-e32e-4b56-9cda-e0ce93d715c4.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:kachlet-schleuse-up,unknown,,yes
de,pegelonline_de,10090710,3199ce09-cd9b-4be2-82bc-f03bb81438e5,PASSAU STEINBACHBRÜCKE DFH,PASSAU STEINBACHBRUCKE DFH,Danube,2230.31,48.57567,13.475462,,,,cm,m3/s if Q timeseries exists,degC if WT timeseries exists,gauge,yes,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations.json?waters=DONAU,https://www.pegelonline.wsv.de/webservices/rest-api/v2/stations/3199ce09-cd9b-4be2-82bc-f03bb81438e5.json,agency=STANDORT REGENSBURG; preserve source agency; republished when agency is not WSV,danube:passau-steinbachbrucke-dfh,unknown,,yes
