record_type,station_id,display_name,datetime,date,lead_hours,level_cm,variation_cm_24h,water_temperature_c,quality_flag
observation,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-03T03:00:00+03:00,2026-08-03,,-115,-1,27.5,valid
observation,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-04T03:00:00+03:00,2026-08-04,,-115,0,27.5,valid
observation,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-05T03:00:00+03:00,2026-08-05,,-116,-1,27.5,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-07T03:00:00+03:00,2026-08-07,120,-118,,,xml_html_value_mismatch
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-03T03:00:00+03:00,2026-08-03,24,-115,,,xml_html_value_mismatch
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-04T03:00:00+03:00,2026-08-04,48,-115,,,xml_html_value_mismatch
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-05T03:00:00+03:00,2026-08-05,72,-116,,,xml_html_value_mismatch
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-06T03:00:00+03:00,2026-08-06,96,-117,,,xml_html_value_mismatch
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-09T03:00:00+03:00,2026-08-09,120,-119,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-05T03:00:00+03:00,2026-08-05,24,-116,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-06T03:00:00+03:00,2026-08-06,48,-117,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-07T03:00:00+03:00,2026-08-07,72,-117,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-08T03:00:00+03:00,2026-08-08,96,-118,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-10T03:00:00+03:00,2026-08-10,120,-119,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-06T03:00:00+03:00,2026-08-06,24,-117,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-07T03:00:00+03:00,2026-08-07,48,-117,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-08T03:00:00+03:00,2026-08-08,72,-118,,,valid
forecast,434d580b-1bc9-4210-aea9-3d263e8251fe,Hârșova,2026-08-09T03:00:00+03:00,2026-08-09,96,-119,,,valid
